INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,SHIP_CLASS,IMO,E_CO2_kg,E_SOx_kg,E_NOx_kg,E_PM_kg,E_CH4_kg,E_CO_kg,E_N2O_kg,E_BC_kg,E_NMVOC_kg,E_PM10_kg,E_PM2.5_kg,DURATION,PDemand_kW,FuelConsumption_tonnes,
48050,47950,EL ISMAILIYA,EG,30.58333333,32.28333333,30,35,N,32,17,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48060,47950,RAS ABU ZANIMAH,EG,29.03333333,33.11666667,29,2,N,33,7,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48065,47950,WADI FEIRAN,EG,28.75,33.2,28,45,N,33,12,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48076,48075,ELAT,IL,29.55,34.95,29,33,N,34,57,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48090,48080,AL AQABAH,JO,29.51666667,35,29,31,N,35,0,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48120,48100,YANBU,SA,24.08333333,38.05,24,5,N,38,3,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48140,48100,JIDDAH,SA,21.48333333,39.18333333,21,29,N,39,11,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48142,48100,JIZAN,SA,16.9,42.48333333,16,54,N,42,29,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46780,46725,SIMONSTOWN,ZA,-34.18333333,18.43333333,34,11,S,18,26,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46800,46725,MOSSEL BAY,ZA,-34.18333333,22.15,34,11,S,22,9,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46820,46725,PORT ELIZABETH,ZA,-33.96666667,25.61666667,33,58,S,25,37,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33770,33630,BELFAST,GB,54.61666667,-5.9,54,37,N,5,54,W,0,0,614527,883,1938,1912,756,1065,1163,1006,1702,1588,1297,0,0,0,0
33790,33630,LARNE,GB,54.85,-5.8,54,51,N,5,48,W,0,0,178690,1306,1446,1984,700,647,1141,1215,1638,797,957,0,0,0,0
33820,33630,COLERAINE,GB,55.13333333,-6.666666667,55,8,N,6,40,W,0,0,319005,777,1956,1872,1718,1153,1410,1730,1383,1795,708,0,0,0,0
33830,33630,LONDONDERRY,GB,55,-7.316666667,55,0,N,7,19,W,0,0,749192,1784,1361,994,854,1021,1858,1694,1675,1098,1366,0,0,0,0
33060,32790,ORNSAY,GB,57.15,-5.8,57,9,N,5,48,W,0,0,682510,735,1723,1638,1561,1121,946,511,1710,1620,886,0,0,0,0
32290,31870,BUCKIE HARBOR,GB,57.68333333,-2.966666667,57,41,N,2,58,W,0,0,695898,1773,951,1851,1909,1046,1297,1887,1706,641,1239,0,0,0,0
32300,31870,LOSSIEMOUTH,GB,57.71666667,-3.283333333,57,43,N,3,17,W,0,0,782419,1036,579,1896,602,959,678,1127,1033,1026,1538,0,0,0,0
32320,31870,BURGHEAD,GB,57.7,-3.5,57,42,N,3,30,W,0,0,488687,1425,1911,1774,1680,1439,1993,1054,1346,774,663,0,0,0,0
32330,31870,INVERNESS,GB,57.48333333,-4.233333333,57,29,N,4,14,W,0,0,705602,1726,1573,1161,846,550,1127,1536,898,1089,871,0,0,0,0
32340,31870,CROMARTY,GB,57.68333333,-4.033333333,57,41,N,4,2,W,0,0,871840,1171,1759,914,1195,1098,1184,1105,1624,1863,1287,0,0,0,0
32350,31870,INVERGORDON,GB,57.68333333,-4.166666667,57,41,N,4,10,W,0,0,480309,1687,1663,952,1282,1143,542,714,1453,1614,1379,0,0,0,0
32360,31870,PORTMAHOMACK HARBOR,GB,57.83333333,-3.833333333,57,50,N,3,50,W,0,0,394478,691,1916,1279,1830,842,1086,678,1340,1275,736,0,0,0,0
32370,31870,HELMSDALE HARBOR,GB,58.11666667,-3.65,58,7,N,3,39,W,0,0,441960,850,952,1234,633,1636,734,1559,1656,1520,1988,0,0,0,0
32380,31870,WICK,GB,58.43333333,-3.083333333,58,26,N,3,5,W,0,0,748173,1225,767,1071,605,956,1251,776,672,1576,520,0,0,0,0
32410,32390,PIEROWALL,GB,59.3,-2.983333333,59,18,N,2,59,W,0,0,719893,1222,1617,1981,1955,715,1989,864,1845,743,573,0,0,0,0
32420,32390,KETTLETOFT,GB,59.23333333,-2.6,59,14,N,2,36,W,0,0,90178,1267,1605,1276,1193,1178,1648,505,730,569,1186,0,0,0,0
32430,32390,WHITEHALL,GB,59.13333333,-2.6,59,8,N,2,36,W,0,0,885291,1659,1344,1546,1237,1484,1825,914,713,1292,947,0,0,0,0
32440,32390,KIRKWALL,GB,58.98333333,-2.966666667,58,59,N,2,58,W,0,0,713612,738,992,1614,1758,1913,726,1409,1714,1053,645,0,0,0,0
32450,32390,STROMNESS,GB,58.96666667,-3.3,58,58,N,3,18,W,0,0,479309,1100,1453,1366,686,1771,1994,1985,1902,719,845,0,0,0,0
32460,32390,SOUTH NESS,GB,58.8,-3.2,58,48,N,3,12,W,0,0,225531,1393,1854,1154,672,1984,1180,568,592,1650,1106,0,0,0,0
32470,32390,ST MARGARETS HOPE,GB,58.83333333,-2.95,58,50,N,2,57,W,0,0,548733,1213,954,1043,916,1129,1621,839,1257,1388,605,0,0,0,0
32490,32390,LYNESS,GB,58.83333333,-3.2,58,50,N,3,12,W,0,0,71378,907,776,1738,577,693,1484,675,587,1630,1270,0,0,0,0
32500,32390,SCAPA BAY,GB,58.95,-2.983333333,58,57,N,2,59,W,0,0,212630,1268,760,1204,582,1599,1951,1933,511,1128,1663,0,0,0,0
4800,4570,CHICAGO,US,41.88333333,-87.6,41,53,N,87,36,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4810,4570,WILMETTE,US,42.08333333,-87.68333333,42,5,N,87,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4820,4570,GREAT LAKES,US,42.3,-87.83333333,42,18,N,87,50,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4830,4570,WAUKEGAN,US,42.36666667,-87.81666667,42,22,N,87,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4840,4570,KENOSHA,US,42.58333333,-87.81666667,42,35,N,87,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4850,4570,RACINE,US,42.73333333,-87.78333333,42,44,N,87,47,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4860,4570,MILWAUKEE,US,43.03333333,-87.88333333,43,2,N,87,53,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4870,4570,PORT WASHINGTON,US,43.38333333,-87.86666667,43,23,N,87,52,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4880,4570,SHEBOYGAN,US,43.75,-87.7,43,45,N,87,42,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4890,4570,MANITOWOC,US,44.1,-87.65,44,6,N,87,39,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4380,4300,PORT HOPE,US,43.95,-82.7,43,57,N,82,42,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,4300,BAY CITY,US,43.6,-83.86666667,43,36,N,83,52,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3700,3640,SARNIA,CA,42.98333333,-82.41666667,42,59,N,82,25,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3710,3640,POINT EDWARD,CA,43,-82.41666667,43,0,N,82,25,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3730,3640,GODERICH,CA,43.75,-81.73333333,43,45,N,81,44,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750,3640,PORT ELGIN,CA,44.43333333,-81.4,44,26,N,81,24,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3760,3640,SOUTHAMPTON,CA,44.5,-81.38333333,44,30,N,81,23,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3770,3640,TOBERMORY,CA,45.26666667,-81.66666667,45,16,N,81,40,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3790,3640,LIONS HEAD,CA,44.98333333,-81.25,44,59,N,81,15,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3810,3640,WIARTON,CA,44.75,-81.13333333,44,45,N,81,8,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3860,3640,OWEN SOUND,CA,44.58333333,-80.93333333,44,35,N,80,56,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3880,3640,MEAFORD,CA,44.61666667,-80.6,44,37,N,80,36,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3890,3640,THORNBURY,CA,44.56666667,-80.45,44,34,N,80,27,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3900,3640,COLLINGWOOD,CA,44.5,-80.23333333,44,30,N,80,14,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930,3640,PENETANGUISHENE,CA,44.76666667,-79.93333333,44,46,N,79,56,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3940,3640,MIDLAND,CA,44.75,-79.91666667,44,45,N,79,55,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3950,3640,TIFFIN,CA,44.75,-79.85,44,45,N,79,51,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3960,3640,PORT MCNICOLL,CA,44.75,-79.8,44,45,N,79,48,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3970,3640,VICTORIA HARBOUR,CA,44.75,-79.81666667,44,45,N,79,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3980,3640,WAUBAUSHENE,CA,44.76666667,-79.71666667,44,46,N,79,43,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,3640,PORT SEVERN,CA,44.8,-79.71666667,44,48,N,79,43,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4020,3640,DEPOT HARBOUR,CA,45.31666667,-80.1,45,19,N,80,6,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030,3640,PARRY SOUND,CA,45.33333333,-80.03333333,45,20,N,80,2,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4050,3640,BYNG INLET,CA,45.76666667,-80.56666667,45,46,N,80,34,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4060,3640,KEY HARBOUR,CA,45.88333333,-80.75,45,53,N,80,45,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4080,3640,KILLARNEY,CA,45.96666667,-81.51666667,45,58,N,81,31,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11905,11860,MAMONAL,CO,10.31666667,-75.51666667,10,19,N,75,31,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13040,12700,IMBITUBA,BR,-28.23333333,-48.66666667,28,14,S,48,40,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12935,12700,GUAIBA ISLAND TERMINAL,BR,-23.01666667,-44.03333333,23,1,S,44,2,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12900,12700,DTSE / GEGUA OIL TERMINAL,BR,-22.81666667,-43.15,22,49,S,43,9,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12950,12700,GEBIG,BR,-23.05,-44.21666667,23,3,S,44,13,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60810,60530,DE KASTRI,RU,51.46666667,140.7833333,51,28,N,140,47,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60820,60530,NIKOLAYEVSK NA AMUR,RU,53.13333333,140.7333333,53,8,N,140,44,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60860,60840,OKHA,RU,53.55,143,53,33,N,143,0,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60880,60840,PORONAYSK,RU,49.21666667,143.1333333,49,13,N,143,8,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60920,60840,KORSAKOV,RU,46.61666667,142.7666667,46,37,N,142,46,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60930,60840,NEVELSK,RU,46.66666667,141.8666667,46,40,N,141,52,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60940,60840,KHOLMSK,RU,47.05,142.05,47,3,N,142,3,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60980,60840,UGLEGORSK,RU,49.08333333,142.0333333,49,5,N,142,2,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60990,60840,LESOGORSK,RU,49.45,142.1333333,49,27,N,142,8,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60380,60315,MASAN,KR,35.18333333,128.5666667,35,11,N,128,34,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60390,60315,PUSAN,KR,35.1,129.0333333,35,6,N,129,2,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60400,60315,ULSAN,KR,35.45,129.4,35,27,N,129,24,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59910,59850,WENZHOU,CN,28.01666667,120.65,28,1,N,120,39,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59950,59850,ZHEN HAI,CN,29.95,121.7,29,57,N,121,42,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59960,59850,ZHOUSHAN,CN,30,122.1,30,0,N,122,6,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59985,59850,JIANGYIN,CN,31.91666667,120.2333333,31,55,N,120,14,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59987,59850,GAOGANG,CN,32.28333333,119.85,32,17,N,119,51,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59988,59850,YANGZHOU,CN,32.26666667,119.4333333,32,16,N,119,26,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59995,59850,ZHENJIANG,CN,32.21666667,119.4333333,32,13,N,119,26,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,59850,NANJING,CN,32.08333333,118.75,32,5,N,118,45,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,59850,WU HU,CN,31.33333333,118.3666667,31,20,N,118,22,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60030,59850,ANKINGCHENG,CN,30.51666667,117.0333333,30,31,N,117,2,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60060,59850,HANKOW,CN,30.58333333,114.2833333,30,35,N,114,17,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60110,59850,WANXIAN,CN,30.81666667,108.4333333,30,49,N,108,26,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60120,59850,CHUNG CHING,CN,29.56666667,106.6333333,29,34,N,106,38,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60130,59850,LIANYUNGANG,CN,34.73333333,119.45,34,44,N,119,27,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60140,59850,QINGDAO GANG,CN,36.03333333,120.2666667,36,2,N,120,16,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46280,46250,DOUALA,CM,4.05,9.683333333,4,3,N,9,41,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46285,46250,KOLE OIL TERMINAL,CM,4.25,8.55,4,15,N,8,33,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46305,46300,BATA,GQ,1.866666667,9.766666667,1,52,N,9,46,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46430,46410,LIBREVILLE,GA,0.3833333333,9.45,0,23,N,9,27,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46435,46410,PORT OWENDO,GA,0.2833333333,9.5,0,17,N,9,30,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46440,46410,PORT GENTIL,GA,-0.7,8.8,0,42,S,8,48,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46445,46410,CAP LOPEZ,GA,-0.6333333333,8.716666667,0,38,S,8,43,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53050,52900,SAILOLOF,ID,-1.25,130.75,1,15,S,130,45,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52260,51970,BAUBAU,ID,-5.466666667,122.6166667,5,28,S,122,37,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52270,51970,RAHA ROADSTEAD,ID,-4.85,122.7333333,4,51,S,122,44,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52295,51970,POMALAA,ID,-4.166666667,121.6,4,10,S,121,36,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52320,51970,UJUNG PANDANG,ID,-5.133333333,119.4,5,8,S,119,24,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52350,51970,DONGGALA,ID,-0.65,119.7333333,0,39,S,119,44,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52440,52400,TAHUNA,ID,3.616666667,125.4833333,3,37,N,125,29,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52510,52500,TERNATE,ID,0.7833333333,127.3833333,0,47,N,127,23,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52523,52520,LABUHA,ID,-0.6333333333,127.4666667,0,38,S,127,28,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52680,52650,BULA,ID,-3.1,130.5,3,6,S,130,30,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52695,52650,SALAWATI,ID,-1.35,130.9833333,1,21,S,130,59,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52720,52650,AMBON,ID,-3.683333333,128.1666667,3,41,S,128,10,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52760,52735,NAMLEA,ID,-3.283333333,127.0833333,3,17,S,127,5,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52870,52850,SAUMLAKI,ID,-7.983333333,131.3,7,59,S,131,18,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52940,52900,SERUI,ID,-1.9,136.25,1,54,S,136,15,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53010,52900,MANOKWARI ROAD,ID,-0.8666666667,134.0833333,0,52,S,134,5,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52235,51970,MANGKASA OIL TERMINAL,ID,-2.733333333,121.0666667,2,44,S,121,4,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52240,51970,KENDARI,ID,-3.966666667,122.5833333,3,58,S,122,35,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53045,52900,KASIM TERMINAL,ID,-1.3,131.0166667,1,18,S,131,1,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51585,51550,BINTULU PORT,MY,3.266666667,113.0666667,3,16,N,113,4,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51590,51550,MIRI,MY,4.383333333,113.9666667,4,23,N,113,58,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51600,51550,LUTONG,MY,4.466666667,114,4,28,N,114,0,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51620,51610,MUARA HARBOR,BN,5.033333333,115.0666667,5,2,N,115,4,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51630,51610,BANDAR SERI BEGAWAN,BN,4.883333333,114.8833333,4,53,N,114,53,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51645,51610,SERIA OIL LOADING TERMINAL,BN,4.616666667,114.3166667,4,37,N,114,19,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39740,39730,PORTOVECCHIO DI PIOMBINO,IT,42.93333333,10.55,42,56,N,10,33,E,0,0,170345,1055,1393,809,1234,742,1658,545,1781,939,1503,0,0,0,0
39790,39730,PORTO SANTO STEFANO,IT,42.43333333,11.11666667,42,26,N,11,7,E,0,0,341702,1999,1342,1637,1636,1425,769,1827,1450,729,500,0,0,0,0
39810,39730,CIVITAVECCHIA,IT,42.1,11.78333333,42,6,N,11,47,E,0,0,244608,1535,1796,580,520,1982,1965,1487,1326,553,574,0,0,0,0
39820,39730,FIUMICINO,IT,41.76666667,12.23333333,41,46,N,12,14,E,0,0,855846,1877,1704,984,676,1548,1892,1081,1428,516,1976,0,0,0,0
39830,39730,ANZIO,IT,41.45,12.63333333,41,27,N,12,38,E,0,0,464837,1703,1524,877,666,795,1045,1297,721,1628,943,0,0,0,0
39860,39730,GAETA,IT,41.2,13.58333333,41,12,N,13,35,E,0,0,579577,1481,632,1268,1760,669,724,1426,505,688,1531,0,0,0,0
39940,39730,POZZUOLI,IT,40.81666667,14.11666667,40,49,N,14,7,E,0,0,471233,1300,916,1724,1709,947,1315,1819,1908,1075,694,0,0,0,0
39950,39730,BAGNOLI,IT,40.81666667,14.16666667,40,49,N,14,10,E,0,0,538060,727,1348,1058,1499,849,1864,1032,853,1846,604,0,0,0,0
39960,39730,NAPOLI,IT,40.85,14.26666667,40,51,N,14,16,E,0,0,350289,1633,933,1194,876,1849,1539,915,1411,1818,1704,0,0,0,0
39250,39130,CARLOFORTE,IT,39.15,8.316666667,39,9,N,8,19,E,0,0,843717,1450,1193,742,1553,902,1573,703,571,517,980,0,0,0,0
39260,39130,PORTO VESME,IT,39.2,8.4,39,12,N,8,24,E,0,0,811593,1766,749,973,1842,874,986,1271,1569,1772,1937,0,0,0,0
11946,11860,PUERTO BOLIVAR,CO,12.25,-71.96666667,12,15,N,71,58,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32590,32510,SCALLOWAY,GB,60.13333333,-1.283333333,60,8,N,1,17,W,0,0,258689,1815,646,1904,811,1004,869,676,1516,1528,1245,0,0,0,0
32600,32510,LERWICK,GB,60.15,-1.15,60,9,N,1,9,W,0,0,410826,1244,1356,651,697,1006,1797,1876,767,1557,1079,0,0,0,0
32630,32510,SULLOM VOE,GB,60.46666667,-1.3,60,28,N,1,18,W,0,0,557170,1308,1821,851,785,1461,1863,1758,737,1597,1400,0,0,0,0
32680,32660,TVOROYRI,FO,61.55,-6.8,61,33,N,6,48,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32690,32660,TORSHAVN,FO,62,-6.75,62,0,N,6,45,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32700,32660,KONGSHAVN,FO,62.11666667,-6.733333333,62,7,N,6,44,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32720,32660,VESTMANNA,FO,62.15,-7.166666667,62,9,N,7,10,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32730,32660,SORVAGUR,FO,62.08333333,-7.25,62,5,N,7,15,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32740,32660,FUGLAFJORDUR,FO,62.25,-6.8,62,15,N,6,48,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
